town,candidate_number,votes,region_code,candidate,region,link,town_code,votes_percentage
Priština,6,2,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=95&xokrsek=43,1000043,7.69
Priština,9,17,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=95&xokrsek=43,1000043,23.07
Podgorica,6,6,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=499&xokrsek=44,1000044,44.44
Podgorica,9,6,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=499&xokrsek=44,1000044,44.44
Hongkong,6,1,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=156&xokrsek=45,1000045,0.00
Hongkong,9,37,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=156&xokrsek=45,1000045,69.44
Peking,6,6,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=156&xokrsek=46,1000046,3.22
Peking,9,37,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=156&xokrsek=46,1000046,70.96
Šanghaj,6,3,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=156&xokrsek=47,1000047,9.09
Šanghaj,9,23,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=156&xokrsek=47,1000047,59.09
Nikósie,6,3,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=196&xokrsek=48,1000048,0.00
Nikósie,9,20,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=196&xokrsek=48,1000048,52.94
Tbilisi,6,6,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=268&xokrsek=49,1000049,16.66
Tbilisi,9,10,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=268&xokrsek=49,1000049,25.00
Dillí,6,12,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=356&xokrsek=50,1000050,25.00
Dillí,9,16,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=356&xokrsek=50,1000050,20.00
Jakarta,6,4,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=360&xokrsek=51,1000051,6.25
Jakarta,9,14,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=360&xokrsek=51,1000051,56.25
Teherán,6,0,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=364&xokrsek=52,1000052,12.50
Teherán,9,6,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=364&xokrsek=52,1000052,12.50
Bagdád,6,3,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=368&xokrsek=53,1000053,8.33
